hip,proper,ra,dec,mag,ci,spect,con,bayer,flam
32349,Sirius,6.752481,-16.716116,-1.44,0.009,A0m...,CMa,Alp,9
30438,Canopus,6.399195,-52.69566,-0.62,0.164,F0Ib,Car,Alp,
69673,Arcturus,14.26103,19.18241,-0.05,1.239,K2IIIp,Boo,Alp,16
71683,Rigil Kentaurus,14.660765,-60.833976,-0.01,0.71,G2V,Cen,Alp-1,
91262,Vega,18.61564,38.783692,0.03,-0.001,A0Vvar,Lyr,Alp,3
24608,Capella,5.27815,45.997991,0.08,0.795,M1: comp,Aur,Alp,13
24436,Rigel,5.242298,-8.20164,0.18,-0.03,B8Ia,Ori,Bet,19
37279,Procyon,7.655033,5.224993,0.4,0.432,F5IV-V,CMi,Alp,10
7588,Achernar,1.628556,-57.236757,0.45,-0.158,B3Vp,Eri,Alp,
27989,Betelgeuse,5.919529,7.407063,0.45,1.5,M2Ib,Ori,Alp,58
68702,Hadar,14.063729,-60.373039,0.61,-0.231,B1III,Cen,Bet,
97649,Altair,19.846388,8.868322,0.76,0.221,A7IV-V,Aql,Alp,53
60718,Acrux,12.443311,-63.099092,0.77,-0.243,B0.5IV,Cru,Alp-1,
21421,Aldebaran,4.598677,16.509301,0.87,1.538,K5III,Tau,Alp,87
,,5.277926,46.000842,0.96,,G0 III,Aur,,
65474,Spica,13.419883,-11.161322,0.98,-0.235,B1V,Vir,Alp,67
80763,Antares,16.490128,-26.432002,1.06,1.865,M1Ib + B2.5V,Sco,Alp,21
37826,Pollux,7.755277,28.026199,1.16,0.991,K0IIIvar,Gem,Bet,78
113368,Fomalhaut,22.960838,-29.622236,1.17,0.145,A3V,PsA,Alp,24
62434,Mimosa,12.795359,-59.688764,1.25,-0.238,B0.5III,Cru,Bet,
102098,Deneb,20.690532,45.280338,1.25,0.092,A2Ia,Cyg,Alp,50
71681,Toliman,14.660346,-60.8383,1.35,0.9,K1V,Cen,Alp-2,
49669,Regulus,10.139532,11.967207,1.36,-0.087,B7V,Leo,Alp,32
33579,Adhara,6.977097,-28.972084,1.5,-0.211,B2II,CMa,Eps,21
36850,Castor,7.576634,31.888276,1.58,0.034,A2Vm,Gem,Alp,66
61084,Gacrux,12.519429,-57.113212,1.59,1.6,M4III,Cru,Gam,
85927,Shaula,17.560145,-37.103821,1.62,-0.231,B1.5IV+...,Sco,Lam,35
25336,Bellatrix,5.418851,6.349702,1.64,-0.224,B2III,Ori,Gam,24
25428,Elnath,5.438198,28.60745,1.65,-0.13,B7III,Tau,Bet,112
45238,Miaplacidus,9.220041,-69.717208,1.67,0.07,A2IV,Car,Bet,
26311,Alnilam,5.603559,-1.20192,1.69,-0.184,B0Ia,Ori,Eps,46
109268,Alnair,22.137209,-46.960975,1.73,-0.07,B7IV,Gru,Alp,
26727,Alnitak,5.679313,-1.942572,1.74,-0.199,O9.5Ib SB,Ori,Zet,50
39953,,8.158876,-47.336588,1.75,-0.145,WC8 + O9I,Vel,Gam-2,
62956,Alioth,12.900472,55.959821,1.76,-0.022,A0p,UMa,Eps,77
90185,Kaus Australis,18.402868,-34.384616,1.79,-0.031,B9.5III,Sgr,Eps,20
15863,Mirfak,3.405378,49.86118,1.79,0.481,F5Ib,Per,Alp,33
54061,Dubhe,11.062155,61.751033,1.81,1.061,F7V comp,UMa,Alp,50
34444,Wezen,7.139857,-26.3932,1.83,0.671,F8Ia,CMa,Del,25
67301,Alkaid,13.792354,49.313265,1.85,-0.099,B3V SB,UMa,Eta,85
86228,Sargas,17.62198,-42.997824,1.86,0.406,F1II,Sco,The,
41037,Avior,8.375236,-59.509483,1.86,1.196,K3III+B2V,Car,Eps,
28360,Menkalinan,5.992149,44.947433,1.9,0.077,A2V,Aur,Bet,34
82273,Atria,16.811077,-69.027715,1.91,1.447,K2IIb-IIIa,TrA,Alp,
31681,Alhena,6.628528,16.399252,1.93,0.001,A0IV,Gem,Gam,24
42913,Alsephina,8.745059,-54.708821,1.93,0.043,A1V,Vel,Del,
100751,Peacock,20.427459,-56.73509,1.94,-0.118,B2IV,Pav,Alp,
11767,Polaris,2.52975,89.264109,1.97,0.636,F7:Ib-IIv SB,UMi,Alp,1
30324,Mirzam,6.378329,-17.955918,1.98,-0.24,B1II/III,CMa,Bet,2
46390,Alphard,9.45979,-8.658603,1.99,1.44,K3III,Hya,Alp,30
50583,Algieba,10.332873,19.841489,2.01,1.128,K0III,Leo,Gam-1,41
9884,Hamal,2.119555,23.462423,2.01,1.151,K2III,Ari,Alp,13
3419,Diphda,0.72649,-17.986605,2.04,1.019,K0III,Cet,Bet,16
92855,Nunki,18.92109,-26.296722,2.05,-0.134,B2.5V,Sgr,Sig,34
68933,Menkent,14.111395,-36.369954,2.06,1.011,K0IIIb,Cen,The,5
677,Alpheratz,0.139791,29.090432,2.07,-0.038,B9p,And,Alp,21
5447,Mirach,1.162194,35.620558,2.07,1.576,M0IIIvar,And,Bet,43
72607,Kochab,14.845105,74.155505,2.07,1.465,K4IIIvar,UMi,Bet,7
112122,Tiaki,22.711115,-46.884577,2.07,1.61,M5III,Gru,Bet,
27366,Saiph,5.795941,-9.669605,2.07,-0.168,B0.5Iavar,Ori,Kap,53
86032,Rasalhague,17.582241,12.560035,2.08,0.155,A5III,Oph,Alp,55
14576,Algol,3.136148,40.955648,2.09,-0.003,B8V,Per,Bet,26
9640,Almach,2.064984,42.329725,2.1,1.37,B8V,And,Gam-1,57
57632,Denebola,11.817663,14.57206,2.14,0.09,A3Vvar,Leo,Bet,94
4427,Cih,0.945143,60.71674,2.15,-0.046,B0IV:evar,Cas,Gam,27
61932,,12.691971,-48.959888,2.2,-0.023,A1IV,Cen,Gam,
39429,Naos,8.059737,-40.003148,2.21,-0.269,O5IAf,Pup,Zet,
45556,Aspidiske,9.284838,-59.275229,2.21,0.189,A8Ib,Car,Iot,
76267,Alphecca,15.578128,26.714693,2.22,0.032,A0V,CrB,Alp,5
65378,Mizar,13.398747,54.925362,2.23,0.057,A2V,UMa,Zet,79
100453,Sadr,20.370473,40.256679,2.23,0.673,F8Ib,Cyg,Gam,37
44816,Suhail,9.133268,-43.432589,2.23,1.665,K4Ib-II,Vel,Lam,
3179,Schedar,0.675116,56.537331,2.24,1.17,K0II-IIIvar,Cas,Alp,18
87833,Eltanin,17.943437,51.488895,2.24,1.521,K5III,Dra,Gam,33
25930,Mintaka,5.533445,-0.299092,2.25,-0.175,O9.5II,Ori,Del,34
746,Caph,0.152887,59.14978,2.28,0.38,F2III-IV,Cas,Bet,11
66657,,13.664796,-53.466394,2.29,-0.171,B1III,Cen,Eps,
78401,Dschubba,16.005557,-22.62171,2.29,-0.117,B0.2IV,Sco,Del,7
82396,Larawag,16.83608,-34.293232,2.29,1.144,K2IIIb,Sco,Eps,26
71860,,14.698823,-47.3882,2.3,-0.154,B1.5III,Lup,Alp,
71352,,14.591786,-42.157824,2.33,-0.157,B1Vn + A,Cen,Eta,
53910,Merak,11.030677,56.382427,2.34,0.033,A1V,UMa,Bet,48
72105,Izar,14.749784,27.074222,2.35,0.966,A0,Boo,Eps,36
107315,Enif,21.736433,9.875011,2.38,1.52,K2Ibvar,Peg,Eps,8
86670,,17.708132,-39.029983,2.39,-0.171,B1.5III,Sco,Kap,
2081,Ankaa,0.438056,-42.305981,2.4,1.083,K0III...,Phe,Alp,
58001,Phecda,11.897168,53.69476,2.41,0.044,A0V SB,UMa,Gam,64
84012,Sabik,17.172968,-15.72491,2.43,0.059,A2.5Va,Oph,Eta,35
113881,Scheat,23.062901,28.082789,2.44,1.655,M2II-IIIvar,Peg,Bet,53
105199,Alderamin,21.30963,62.585573,2.45,0.257,A7IV-V,Cep,Alp,5
35904,Aludra,7.401584,-29.303104,2.45,-0.083,B5Ia,CMa,Eta,31
45941,Markeb,9.368562,-55.010668,2.47,-0.141,B2IV,Vel,Kap,
102488,Aljanah,20.770178,33.970256,2.48,1.021,K0III,Cyg,Eps,53
113963,Markab,23.079348,15.205264,2.49,-0.002,B9.5III,Peg,Alp,54
81377,,16.619316,-10.56709,2.54,0.038,O9.5V,Oph,Zet,13
14135,Menkar,3.037992,4.089734,2.54,1.63,M2III,Cet,Alp,92
68002,,13.925667,-47.288375,2.55,-0.176,B2.5IV,Cen,Zet,
54872,Zosma,11.235138,20.523717,2.56,0.128,A4V,Leo,Del,68
78820,Acrab,16.09062,-19.805453,2.56,-0.065,B0.5V,Sco,Bet-1,8
59196,,12.13931,-50.722425,2.58,-0.128,B2IVne,Cen,Del,
59803,Gienah,12.263437,-17.541929,2.58,-0.107,B8III,Crv,Gam,4
25985,Arneb,5.545504,-17.822289,2.58,0.211,F0Ib,Lep,Alp,11
93506,Ascella,19.043532,-29.880105,2.6,0.062,A3IV,Sgr,Zet,38
74785,Zubeneschamali,15.283449,-9.382917,2.61,-0.071,B8V,Lib,Bet,27
77070,Unukalhai,15.737798,6.425627,2.63,1.167,K2III,Ser,Alp,24
8903,Sheratan,1.910668,20.808035,2.64,0.165,A5V...,Ari,Bet,6
61359,Kraz,12.573121,-23.396759,2.65,0.893,G5II,Crv,Bet,9
26634,Phact,5.660817,-34.074108,2.65,-0.12,B7IV,Col,Alp,
28380,Mahasim,5.995351,37.212585,2.65,-0.083,A0p Si,Aur,The,37
6686,Ruchbah,1.430216,60.235283,2.66,0.16,A5Vv SB,Cas,Del,37
67927,Muphrid,13.911411,18.397717,2.68,0.58,G0IV,Boo,Eta,8
73273,,14.975537,-43.13396,2.68,-0.184,B2III,Lup,Bet,
52727,,10.779488,-49.420255,2.69,0.901,G5III SB,Vel,Mu,
61585,,12.619739,-69.135564,2.69,-0.176,B2IV-V,Mus,Alp,
23015,Hassaleh,4.949894,33.16609,2.69,1.49,K3IIvar,Aur,Iot,3
85696,Lesath,17.512732,-37.295811,2.7,-0.179,B2IV,Sco,Ups,34
35264,,7.285711,-37.09747,2.71,1.616,K3Ib,Pup,Pi,
89931,Kaus Media,18.3499,-29.828103,2.72,1.38,K3III,Sgr,Del,19
97278,Tarazed,19.770994,10.613261,2.72,1.507,K3II,Aql,Gam,50
79593,Yed Prior,16.239094,-3.694323,2.73,1.584,M1III,Oph,Del,1
80331,Athebyne,16.39986,61.514213,2.73,0.91,G8III,Dra,Eta,14
52419,,10.715949,-64.39445,2.74,-0.22,B0Vp,Car,The,
61941,Porrima,12.694345,-1.449375,2.74,0.368,F0V+...,Vir,Gam,29
65109,,13.343296,-36.712295,2.75,0.068,A2V,Cen,Iot,
72622,Zubenelgenubi,14.847977,-16.041778,2.75,0.147,A3IV,Lib,Alp-2,9
26241,Hatysa,5.590551,-5.909901,2.75,-0.21,O9III,Ori,Iot,44
86742,Cebalrai,17.724543,4.567303,2.76,1.168,K2III,Oph,Bet,60
80816,Kornephoros,16.503668,21.489613,2.78,0.947,G8III,Her,Bet,27
84345,Rasalgethi,17.244127,14.390333,2.78,1.164,M5IIvar,Her,Alp-1,64
23875,Cursa,5.130829,-5.086446,2.78,0.161,A3IIIvar,Eri,Bet,67
59747,Imai,12.252427,-58.748928,2.79,-0.193,B2IV,Cru,Del,
85670,Rastaban,17.507213,52.301387,2.79,0.954,G2II,Dra,Bet,23
76297,,15.585681,-41.166757,2.8,-0.216,B2IV,Lup,Gam,
81693,,16.688113,31.602726,2.81,0.65,F9IV,Her,Zet,40
25606,Nihal,5.470756,-20.759441,2.81,0.807,G5II,Lep,Bet,9
2021,,0.427916,-77.254247,2.82,0.618,G2IV,Hyi,Bet,
81266,Paikauhale,16.598043,-28.216016,2.82,-0.206,B0V,Sco,Tau,23
90496,Kaus Borealis,18.466179,-25.4217,2.82,1.025,K1IIIb,Sgr,Lam,22
1067,Algenib,0.220598,15.183596,2.83,-0.19,B2IV,Peg,Gam,88
77952,,15.919083,-63.430727,2.83,0.315,F2III,TrA,Bet,
39757,Tureis,8.125737,-24.304324,2.83,0.458,F2mF5IIp,Pup,Rho,15
85258,,17.421665,-55.529884,2.84,1.479,K3Ib-II,Ara,Bet,
85792,,17.530695,-49.876145,2.84,-0.136,B2Vne,Ara,Alp,
18246,,3.9022,31.883635,2.84,0.271,B1Ib,Per,Zet,44
63608,Vindemiatrix,13.036278,10.95915,2.85,0.934,G8IIIvar,Vir,Eps,47
107556,Deneb Algedi,21.784011,-16.127286,2.85,0.18,A5mF2 (IV),Cap,Del,49
17702,Alcyone,3.79141,24.105137,2.85,-0.086,B7III,Tau,Eta,25
,Castor B,7.576827,31.89052,2.85,,A m,Gem,Alp,66
9236,,1.979451,-61.569859,2.86,0.29,F0V,Hyi,Alp,
97165,Fawaris,19.749574,45.13081,2.86,-0.002,B9.5III,Cyg,Del,18
74946,,15.315181,-68.679545,2.87,0.014,A1V,TrA,Gam,
110130,,22.308371,-60.259587,2.87,1.39,K3III,Tuc,Alp,
30343,Tejat,6.382673,22.513586,2.87,1.621,M3IIIvar,Gem,Mu,13
94141,Albaldah,19.162731,-21.023615,2.88,0.377,F2II/III,Sgr,Pi,41
13847,Acamar,2.971023,-40.304672,2.88,0.128,A4III+...,Eri,The-1,
63125,Cor Caroli,12.933807,38.31838,2.89,-0.115,A0spe...,CVn,Alp-2,12
78265,Fang,15.980865,-26.114105,2.89,-0.18,B1V + B2V,Sco,Pi,6
36188,Gomeisa,7.452512,8.289315,2.89,-0.097,B8Vvar,CMi,Bet,3
80112,Alniyat,16.353143,-25.592796,2.9,0.299,B1III,Sco,Sig,20
106278,Sadalsuud,21.525982,-5.571172,2.9,0.828,G0Ib,Aqr,Bet,22
18532,,3.96423,40.010215,2.9,-0.199,B0.5V,Per,Eps,45
14328,,3.079942,53.50644,2.91,0.716,G8III+...,Per,Gam,23
48002,,9.785036,-65.072007,2.92,0.273,A9,Car,Ups,
112158,Matar,22.716704,30.221245,2.93,0.852,G2II-III..,Peg,Eta,44
60965,Algorab,12.497739,-16.515432,2.94,-0.012,B9.5V,Crv,Del,7
32768,,6.832266,-50.61456,2.94,1.207,K0III...,Pup,Tau,
109074,Sadalmelik,22.096399,-0.319851,2.95,0.969,G2Ib,Aqr,Alp,34
18543,Zaurak,3.967157,-13.508515,2.97,1.588,M1IIIb Ca-1,Eri,Gam,34
26451,Tianguan,5.627413,21.142549,2.97,-0.148,B4IIIp,Tau,Zet,123
47908,Ras Elased Australis,9.764188,23.774255,2.97,0.808,G0II,Leo,Eps,17
88635,Alnasl,18.096803,-30.424091,2.98,0.981,K0III,Sgr,Gam-2,10
64962,,13.315359,-23.171512,2.99,0.92,G8III,Hya,Gam,46
87073,,17.793078,-40.126997,2.99,0.509,F3Ia,Sco,Iot-1,
93747,Okab,19.090169,13.863478,2.99,0.014,A0Vn,Aql,Zet,17
54539,,11.161062,44.498487,3.0,1.144,K1III,UMa,Psi,52
75097,Pherkad,15.345483,71.834016,3.0,0.058,A3II-III,UMi,Gam,13
82514,Xamidimura,16.864509,-38.04738,3.0,-0.2,B1.5IV + B,Sco,Mu-1,
10064,,2.159058,34.987297,3.0,0.14,A5III,Tri,Bet,4
108085,Aldhanab,21.898808,-37.364852,3.0,-0.084,B8III,Gru,Gam,
17358,,3.715416,47.787551,3.01,-0.125,B5III SB,Per,Del,39
59316,,12.168746,-22.619766,3.02,1.326,K2III,Crv,Eps,2
30122,Furud,6.338553,-30.063367,3.02,-0.16,B2.5V,CMa,Zet,1
33977,,7.050409,-23.833291,3.02,-0.077,B3Ia,CMa,Omi-2,24
23416,Almaaz,5.032815,43.823308,3.03,0.537,F0Ia,Aur,Eps,7
62322,,12.771346,-68.108119,3.04,-0.178,B2V,Mus,Bet,
71075,Seginus,14.534636,38.308253,3.04,0.191,A7IIIvar,Boo,Gam,27
95947,Albireo,19.512023,27.959681,3.05,1.088,K3II+...,Cyg,Bet-1,6
100345,Dabih,20.350187,-14.781367,3.05,0.79,A5:n,Cap,Bet,9
50801,Tania Australis,10.372155,41.499516,3.06,1.603,M0III SB,UMa,Mu,34
32246,Mebsuta,6.732202,25.131124,3.06,1.377,A3mA6-A9,Gem,Eps,27
94376,Altais,19.209225,67.661541,3.07,0.99,G9III,Dra,Del,57
89642,,18.293793,-36.761686,3.1,1.582,M2III,Sgr,Eta,
52943,,10.827079,-16.193648,3.11,1.232,K0/K1III,Hya,Nu,
56561,,11.596363,-63.019841,3.11,-0.044,B9II:,Cen,Lam,
101772,,20.626116,-47.291502,3.11,0.998,K0III,Ind,Alp,
43813,,8.92323,5.945563,3.11,0.978,G8III-IV,Hya,Zet,16
83081,,16.977006,-55.990141,3.12,1.552,K5III,Ara,Zet,
84379,Sarin,17.250531,24.839204,3.12,0.08,A3IVv SB,Her,Del,65
27628,Wazn,5.849329,-35.768309,3.12,1.146,K1.5III,Col,Bet,
44127,Talitha,8.986828,48.041826,3.12,0.223,A7IV,UMa,Iot,9
73334,,14.986025,-42.104194,3.13,-0.208,B2IV,Cen,Kap,
45860,,9.350925,34.392562,3.14,1.55,M0IIIvar,Lyn,Alp,40
84380,,17.250788,36.809162,3.16,1.437,K3IIvar,Her,Pi,67
46701,,9.520371,-57.034377,3.16,1.538,K5III,Vel,,
83895,Aldhibah,17.146448,65.714683,3.17,-0.12,B6III,Dra,Zet,22
92041,,18.76094,-26.990778,3.17,-0.107,B8.5III,Sgr,Phi,27
31685,,6.629353,-43.195934,3.17,-0.103,B8III SB,Pup,Nu,
46853,,9.547715,51.6773,3.17,0.475,F6IV,UMa,The,25
71908,,14.708492,-64.975138,3.18,0.256,F1Vp,Cir,Alp,
23767,Haedus,5.10858,41.234474,3.18,-0.148,B3V,Aur,Eta,10
83000,,16.961139,9.375033,3.19,1.16,K2IIIvar,Oph,Kap,27
87261,Fuyue,17.830965,-37.043304,3.19,1.192,K0/K1III,Sco,,
22449,Tabit,4.830669,6.961276,3.19,0.484,F6V,Ori,Pi-3,1
23685,,5.091018,-22.371032,3.19,1.46,K4III,Lep,Eps,2
104732,,21.215607,30.226916,3.21,0.99,G8II SB,Cyg,Zet,64
116727,Errai,23.65582,77.632276,3.21,1.031,K1IV,Cep,Gam,35
75141,,15.356201,-40.647518,3.22,-0.227,B1.5IV,Lup,Del,
79882,Yed Posterior,16.305358,-4.692511,3.23,0.966,G8III,Oph,Eps,2
89962,,18.355167,-2.898825,3.23,0.941,K0III-IV,Ser,Eta,58
106032,Alfirk,21.477662,70.560716,3.23,-0.201,B2IIIv SB,Cep,Bet,8
99473,,20.188413,-0.821461,3.24,-0.066,B9.5III,Aql,The,65
32607,,6.803194,-61.941391,3.24,0.225,A7IV,Pic,Alp,
68895,,14.106193,-26.682361,3.25,1.091,K2III,Hya,Pi,49
73714,Brachium,15.067839,-25.281965,3.25,1.674,M3/M4III,Lib,Sig,20
93194,Sulafat,18.982395,32.689557,3.25,-0.049,B9III,Lyr,Gam,14
36377,,7.487179,-43.301432,3.25,1.509,K5III SB,Pup,Sig,
17678,,3.787295,-74.238962,3.26,1.59,M2III,Hyi,Gam,
3092,,0.655462,30.861024,3.27,1.268,K3III...,And,Del,31
84970,,17.366827,-24.999545,3.27,-0.186,B2IV,Oph,The,42
113136,Skat,22.910837,-15.82082,3.27,0.066,A3V,Aqr,Del,76
50099,,10.228961,-70.037903,3.29,-0.074,B8III,Car,Ome,
75458,Edasich,15.415494,58.966065,3.29,1.166,K2III,Dra,Iot,12
24305,,5.215528,-16.205468,3.29,-0.11,B9IV: HgMn,Lep,Mu,5
51576,,10.533743,-61.685332,3.3,-0.089,B4Vne,Car,,
21281,,4.566598,-55.044975,3.3,-0.079,A0V:,Dor,Alp,
85267,,17.423239,-56.377727,3.31,-0.15,B1Ib,Ara,Gam,
29655,Propus,6.247961,22.506799,3.31,1.6,M3III,Gem,Eta,7
5165,,1.101407,-46.718414,3.32,0.885,G8IIIvar,Phe,Bet,
59774,Megrez,12.257086,57.032617,3.32,0.077,A3Vvar,UMa,Del,69
84143,,17.202552,-43.239189,3.32,0.441,F3p,Sco,Eta,
88048,,17.983775,-9.773632,3.32,0.987,K0III,Oph,Nu,64
93864,,19.11567,-27.670423,3.32,1.169,K1/K2III,Sgr,Tau,40
14354,,3.08627,38.840274,3.32,1.528,M3IIIvar,Per,Rho,25
54879,Chertan,11.237335,15.42957,3.33,-0.003,A2V,Leo,The,70
19780,,4.240404,-62.473858,3.33,0.915,G7III,Ret,Alp,
38170,Azmidi,7.821571,-24.859786,3.34,1.218,G6Ia,Pup,Xi,7
8886,Segin,1.906584,63.670101,3.35,-0.15,B2pvar,Cas,Eps,45
25281,,5.407949,-2.397146,3.35,-0.24,B1V + B2,Ori,Eta,28
32362,Alzirr,6.754824,12.895591,3.35,0.443,F5IV,Gem,Xi,31
41704,Muscida,8.504431,60.718169,3.35,0.856,G4II-III,UMa,Omi,1
95501,,19.424972,3.114775,3.36,0.319,F0IV,Aql,Del,30
75264,,15.378021,-44.689622,3.37,-0.191,B2IV-V,Lup,Eps,
66249,Heze,13.57822,-0.59582,3.38,0.114,A3V,Vir,Zet,79
43109,Ashlesha,8.779587,6.418809,3.38,0.685,G0III-IV,Hya,Eps,11
50371,,10.28472,-61.332304,3.39,1.541,K3II,Car,,
63090,Minelauva,12.926725,3.39747,3.39,1.571,M3III,Vir,Del,43
109492,,22.180908,58.201261,3.39,1.558,K1Ibv SB,Cep,Zet,21
26207,Meissa,5.585633,9.934158,3.39,-0.16,O...,Ori,Lam,39
,,17.172783,-15.726921,3.4,,A3 V,Oph,,
20894,Chamukuy,4.477705,15.870883,3.4,0.179,A7III,Tau,The-2,78
6867,,1.472759,-43.318234,3.41,1.542,K5II-III,Phe,Gam,
67464,,13.825078,-41.687709,3.41,-0.225,B2IV,Cen,Nu,
74395,,15.20476,-52.099247,3.41,0.918,G8III,Lup,Zet,
102422,,20.754811,61.838782,3.41,0.912,K0IV,Cep,Eta,3
112029,Homam,22.691033,10.831364,3.41,-0.086,B8.5V,Peg,Zet,42
18724,,4.011338,12.490347,3.41,-0.099,B3V + A,Tau,Lam,35
8796,Mothallah,1.884696,29.578829,3.42,0.488,F6IV,Tri,Alp,2
78384,,16.002036,-38.396706,3.42,-0.206,B2.5IV,Lup,Eta,
86974,,17.774319,27.720676,3.42,0.75,G5IV,Her,Mu,86
102395,,20.749314,-66.203212,3.42,0.163,A5IV,Pav,Bet,
50335,Adhafera,10.278171,23.417311,3.43,0.307,F0III,Leo,Zet,36
93805,,19.10415,-4.882554,3.43,-0.096,B9Vn,Aql,Lam,16
45080,,9.182804,-58.966896,3.43,-0.19,B2IV,Car,,
50372,Tania Borealis,10.284952,42.914365,3.45,0.029,A2IV,UMa,Lam,33
3821,Achird,0.81826,57.815187,3.46,0.587,G0V SB,Cas,Eta,24
5364,,1.143164,-10.182264,3.46,1.161,K2III,Cet,Eta,31
74666,,15.258376,33.314833,3.46,0.961,G8III,Boo,Del,49
38827,,7.946313,-52.98236,3.46,-0.177,B3IVp,Car,Chi,
67472,,13.826943,-42.473732,3.47,-0.17,B2IV-Ve,Cen,Mu,
12706,Kaffaljidhma,2.721678,3.235818,3.47,0.093,A3V,Cet,Gam,86
49583,,10.122209,16.762664,3.48,-0.031,A0Ib,Leo,Eta,30
81833,,16.714933,38.922254,3.48,0.916,G8III-IV,Her,Eta,44
8102,,1.734479,-15.93748,3.49,0.727,G8V,Cet,Tau,52
55219,Alula Borealis,11.307983,33.094306,3.49,1.4,K3III SB,UMa,Nu,54
73555,Nekkar,15.032436,40.390566,3.49,0.956,G8III,Boo,Bet,42
90422,,18.449561,-45.968459,3.49,-0.179,B3IV,Tel,Alp,
112623,,22.809239,-51.316864,3.49,0.083,A3V,Gru,Eps,
33856,Nganurganity,7.028652,-27.93483,3.49,1.729,K4III,CMa,Sig,22
112724,,22.82802,66.200408,3.5,1.053,K0III,Cep,Iot,32
32759,,6.830683,-32.508478,3.5,-0.116,B1.5IVne,CMa,Kap,13
35550,Wasat,7.335383,21.98232,3.5,0.374,F0IV...,Gem,Del,55
98337,,19.979285,19.492148,3.51,1.571,K5III,Sge,Gam,12
112748,Sadalbari,22.833385,24.601579,3.51,0.933,M2III,Peg,Mu,48
,,12.694171,-1.449235,3.52,,F0 V,Vir,Gam,29
92420,Sheliak,18.834665,33.362667,3.52,0.003,A8:V comp SB,Lyr,Bet,10
93085,,18.962167,-21.106654,3.52,1.151,G8/K0II/III,Sgr,Xi-2,37
109427,Biham,22.169996,6.197865,3.52,0.086,A2V,Peg,The,26
17378,Rana,3.720806,-9.763395,3.52,0.915,K0IV,Eri,Del,23
47508,Subra,9.685843,9.892308,3.52,0.516,A5V+...,Leo,Omi,14
48774,,9.947708,-54.56779,3.52,-0.067,B5Ib,Vel,Phi,
20889,Ain,4.476943,19.180431,3.53,1.014,K0III,Tau,Eps,74
40526,Tarf,8.275256,9.185545,3.53,1.481,K4III,Cnc,Bet,17
56343,,11.550038,-31.857625,3.54,0.947,G8III,Hya,Xi,
77516,,15.827002,-3.430208,3.54,-0.036,A0V,Ser,Mu,32
86263,,17.626445,-15.398557,3.54,0.262,F0IIIp,Ser,Xi,55
69996,,14.323396,-46.058093,3.55,-0.184,B2.5IV,Lup,Iot,
89937,,18.350736,72.732843,3.55,0.489,F7Vvar,Dra,Chi,44
99240,,20.145157,-66.182068,3.55,0.751,G5IV-Vvar,Pav,Del,
20042,,4.298237,-33.798348,3.55,-0.108,B9V,Eri,Ups-4,41
27288,,5.782595,-14.82195,3.55,0.104,A2Vann,Lep,Zet,14
1562,,0.323799,-8.823921,3.56,1.214,K2III,Cet,Iot,8
55282,,11.322347,-14.778541,3.56,1.112,K0III,Crt,Del,12
82545,Pipirima,16.872263,-38.017536,3.56,-0.21,B2IV,Sco,Mu-2,
10602,,2.275154,-51.512165,3.56,-0.12,B8IV-V,Eri,Phi,
71053,,14.5305,30.371437,3.57,1.298,K3III,Boo,Rho,25
75177,,15.36344,-36.261376,3.57,1.534,K5III,Lup,Phi-1,
37740,,7.740793,24.397993,3.57,0.932,G8III,Gem,Kap,77
44471,Alkaphrah,9.060427,47.156525,3.57,0.007,A1Vn,UMa,Kap,12
100064,Algedi,20.300904,-12.544852,3.58,0.883,G6/G8III,Cap,Alp-2,6
35350,,7.30155,16.540383,3.58,0.106,A3V...,Gem,Lam,54
7607,Nembus,1.633205,48.628213,3.59,1.275,K3III,And,,51
57757,Zavijava,11.844922,1.764718,3.59,0.518,F8V,Vir,Bet,5
60260,Ginan,12.356031,-60.401147,3.59,1.389,K3/K4III,Cru,Eps,
24674,,5.293442,-6.844409,3.59,-0.115,B5III,Ori,Tau,20
27072,,5.741057,-22.448382,3.59,0.481,F7V,Lep,Gam,13
6537,,1.40039,-8.183257,3.6,1.065,K0III,Cet,The,45
76470,,15.61707,-28.135079,3.6,1.361,K3III,Lib,Ups,39
85727,,17.518318,-60.683848,3.6,-0.104,B8V,Ara,Del,
33018,,6.879816,33.961254,3.6,0.102,A3III,Gem,The,34
42536,,8.671554,-52.921887,3.6,-0.168,B3IV,Vel,Omi,
46651,,9.511674,-40.466769,3.6,0.371,F2IV,Vel,Psi,
49841,,10.176467,-12.354083,3.61,1.007,K0III,Hya,Lam,41
63613,,13.037759,-71.548855,3.61,1.19,K2III,Mus,Del,
86929,,17.762221,-64.723871,3.61,1.161,K1III,Pav,Eta,
13209,Bharani,2.833063,27.260507,3.61,-0.1,B8Vn,Ari,,41
15900,,3.413554,9.02887,3.61,0.887,G8III,Tau,Omi,1
7097,Alpherg,1.524725,15.345823,3.62,0.974,G8III,Psc,Eta,99
82729,,16.909731,-42.361313,3.62,1.393,K4III,Sco,Zet-2,
113726,,23.032017,42.325979,3.62,-0.099,B6pv SB,And,Omi,1
17847,Atlas,3.819373,24.053415,3.62,-0.07,B8III,Tau,,27
37819,,7.754249,-37.968584,3.62,1.706,K4III,Pup,,
57363,,11.760141,-66.728763,3.63,0.16,A7III,Mus,Lam,
